School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
New School,206357,"Delhi Public School, Bangalore - North",Dropped,2024,2024-03-13 00:00:00,Ei ASSET,Regular,IN-2022001642,Approved By Logistic Team,920908,920908,920908,1842,500,0,0,,0,0,,0,Installments,2,,2024-03-15 00:00:00,276272,2024-11-15 00:00:00,644636,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,5819,2024-08-23 00:00:00,2025-02-24 00:00:00,920908,902497,12592,0.6667000000000001,0.6667000000000001,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021544208,51788000002733060,zcrm_51788000266748714,2024-03-13 00:00:00,aji.thomas_eiindia,mitul.patel_ei1,aji.thomas@ei.study,Aji thomas,Aji Thomas,Dipti Jain,2024-03-16 10:09:21,Ms. Manju Balasubramanyam,Principal,principal@north.dpsbangalore.edu.in,+919880340433,manjuarif@gmail.com,Ms. Manju Balasubramanyam,principal@north.dpsbangalore.edu.in,+919880340433,,,,100000,"Survey No. 35/1, ^A^, Sathanur Village, Post Off Bellary Road, Bagalur, Jala Hobli, Bangalore North,",,562149,"Survey No. 35/1, ^A^, Sathanur Village, Post Off Bellary Road, Bagalur, Jala Hobli, Bangalore North,",Bengaluru,KARNATAKA,562149,BLRK01734F,"Survey No. 35/1, ^A^, Sathanur Village, Post Off Bellary Road, Bagalur, Jala Hobli, Bangalore North,","Survey No. 35/1, ^A^, Sathanur Village, Post Off Bellary Road, Bagalur, Jala Hobli, Bangalore North,"
1-year School,2066385,Sanghamitra High School,,2024,2024-03-22 00:00:00,Ei CARES,Regular,IN-2022001718,Approved By Logistic Team,1046068,1046068,0,0,,1046068,804,1301,0,0,,0,Installments,4,,2024-06-30 00:00:00,261517,2024-09-30 00:00:00,261517,2024-11-30 00:00:00,261517,2024-12-31 00:00:00,261517,0,2024-08-23 00:00:00,2025-03-21 00:00:00,1046068,1108193,-62125,0.7043,0.7043,,,,,0,,4,MCQ,Printing By EI,OMR,,CBSE,Zaheerabad,Telangana,South,AP/Telangana,National Sales,2024-06-25 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021670488,51788000002767190,zcrm_51788000267248421,2024-03-22 00:00:00,pavan.kumar_ei,hakim.kanchwala_eiindia1,pavan.kumar@ei.study,Pavan kumar,Jasper Jessie,,2024-04-24 11:16:20,Mr. Sandeep Reddy,School Owner,vanterusabitha@gmail.com,+919849046131,info@sanghamitraschool.in,,,,,,,47600,1-6-108,,502220,1-6-108,Zaheerabad,Telangana,502220,,1-6-108,1-6-108
New School,207093,Advanced Academy,,2024,2024-02-19 00:00:00,Ei CARES,Regular,IN-2022001516,Approved By Logistic Team,894596,894596,0,0,,894596,395,2265,0,0,,0,Installments,4,,2024-02-21 00:00:00,223649,2024-07-02 00:00:00,223649,2024-10-02 00:00:00,223649,2024-12-30 00:00:00,223649,57143,2024-02-27 00:00:00,2025-01-10 00:00:00,894596,688440,149013,0.40399999999999997,0.40399999999999997,,,,,0,,6,MCQ,Printing By EI,OMR,,CBSE,Indore,Madhya Pradesh,North,MP/Chattisgarh,National Sales,2024-03-15 00:00:00,2025-03-29 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021126168,51788000002733064,zcrm_51788000254430449,2024-02-19 00:00:00,Laxminarayan Dogayan,fagun.saraiya_eiindia1,laxminarayan.dogayan@ei.study,Laxminarayan dogayan,Laxminarayan Dogayan,,2024-02-22 11:40:31,Usha Tomar,Principal,advancedindore@gmail.com,+917415666686,advancedindore@gmail.com,Usha Tomar,advancedindore@gmail.com,+917415666686,Mrs. Swati Gupta,advancedindore@gmail.com,+916264289406,71203,"Isckon Vihar Colony, Nipania Road",,452001,"Isckon Vihar Colony, Nipania Road",Indore,Madhya Pradesh,452001,BPLL02824D,"Isckon Vihar Colony, Nipania Road","Isckon Vihar Colony, Nipania Road"
Retention School,207682,Asian Christian High School,,2024,2024-04-22 00:00:00,Ei ASSET,Regular,IN-2022001955,Approved By Logistic Team,540323,540323,540323,1544,350,0,0,,0,0,,0,Full Payment,,2024-04-15 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,10715,2024-04-30 00:00:00,2024-04-30 00:00:00,540323,525058,4550,0.7667,0.7667,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Hosur,Tamil Nadu,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022195988,51788000002733070,zcrm_51788000268697133,2024-04-22 00:00:00,dipti.jain_ei,mitul.patel_ei1,dipti.jain@ei.study,Dipti jain,Aruna,,2024-04-23 10:56:08,Mr. Levi Paulos,Other,levi.paulos@acaindia.org,+919999021486,achs@acaindia.org,Sijumon George,achs@acaindia.org,+918144244218,Kavita Palanivel,kavitha.p@acaindia.org,+919715567465,0,"Jeemangalam Village, Bagalur P.O., Krishnagiri District",,635103,"Jeemangalam Village, Bagalur P.O., Krishnagiri District",Hosur,Tamil Nadu,635103,,"Jeemangalam Village, Bagalur P.O., Krishnagiri District","Jeemangalam Village, Bagalur P.O., Krishnagiri District"
1-year School,209833,Nalanda International School,,2024,"2024-04-30 00:00:00, 2024-07-29 00:00:00","Ei ASSET, Ei ASSET,Ei CARES",Regular,"IN-2022001973, IN-2022002390",Approved By Logistic Team,1446860,1446860,296854,619,"0, 813",1150006,403,2854,0,0,,0,Full Payment,,"2024-06-15 00:00:00, 2024-08-15 00:00:00",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-06-24 00:00:00,2024-08-12 00:00:00,"0, 1446860","0, 1393200","0, 53660","0.4578, 1","0.4078, 1",,,0.05,,Summer Round,OMR,"0, 4",MCQ,Printing By EI,OMR,,CISCE,Vadodara,Gujarat,West,Gujarat,National Sales,"2024-04-01 00:00:00, 2024-05-01 00:00:00","2025-03-31 00:00:00, 2025-04-30 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000022312264, 22028000023812048",51788000002733091,"zcrm_51788000269048359, zcrm_51788000272109673","2024-04-30 00:00:00, 2024-07-29 00:00:00",heena.kumar_ei,sourabh.mehta_eiindia,heena.kumar@ei.study,Heena kumar,Nakul Swamy,,"2024-05-02 14:38:50, 2024-07-31 10:26:28",Ms. Shoba Menon,Principal,shoba.menon@nalandaschool.org,+919974021668,Info@nalandaschool.org,Ms. Shoba Menon,shoba.menon@nalandaschool.org,+919974021668,Ms. Divya Prashant,divya.prashant50@gmail.com,+918867042390,100000,"Sevasi-Mahapura Road, Sevasi",,391101,"Sevasi-Mahapura Road, Sevasi",Vadodara,Gujarat,391101,,"Sevasi-Mahapura Road, Sevasi","Sevasi-Mahapura Road, Sevasi"
Retention School,2104860,Vedavalli Vidyalaya,,2024,2024-06-20 00:00:00,Ei CARES,Regular,IN-2022002254,Approved By Logistic Team,453188,453188,0,0,,453188,259,1750,0,0,,0,Installments,4,,2024-06-25 00:00:00,113297,2024-09-30 00:00:00,113297,2024-12-01 00:00:00,113297,2024-12-31 00:00:00,113297,22419,2024-07-20 00:00:00,2025-03-11 00:00:00,453188,404120,26649,0.7265999999999999,0.7265999999999999,,,,,0,,8,MCQ,,Online,,CBSE,Ranipet,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-05 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023070336,51788000002767979,zcrm_51788000270794001,2024-06-20 00:00:00,vineeth.v_ei,hakim.kanchwala_eiindia1,vineeth.v@ei.study,Vineeth v,Vineeth T V,,2024-06-25 13:27:07,Mr. Anantha Raman M K,,anantharaman@vedavallividyalaya.org,+914172246013,anantharaman@vedavallividyalaya.org,,,,,,,0,"Thirumalai Nagar, Vanapadi Road, Vellore District, ,Ranipet",,632404,"Thirumalai Nagar, Vanapadi Road, Vellore District, ,Ranipet",Ranipet,TAMIL NADU,632404,CHET03629D,"Thirumalai Nagar, Vanapadi Road, Vellore District, ,Ranipet","Thirumalai Nagar, Vanapadi Road, Vellore District, ,Ranipet"
Retention School,210666,Lakshmi School,,2024,2024-03-07 00:00:00,"Ei ASSET, Ei ASSET,Ei Mindspark",Regular,"IN-2022001595, IN-2022001596",Approved By Logistic Team,807134,846119,590549,1150,"500, 588",0,0,,216585,181,1197,0,Installments,"2, 4",,"2024-05-27 00:00:00, 2024-07-01 00:00:00","146279, 89631","2024-09-01 00:00:00, 2024-10-01 00:00:00","341318, 89631","2000-01-01 00:00:00, 2024-12-01 00:00:00","0, 89631","2000-01-01 00:00:00, 2024-12-31 00:00:00","0, 89631","14096, 14718","2024-06-18 00:00:00, 2024-07-25 00:00:00","2024-07-25 00:00:00, 2025-01-27 00:00:00","358524, 487597","132461, 625245","-280817, 340418","0.6078, 0.6666","0.6078, 0.6666",,,,,Winter Round,OMR,0,MCQ,,,Online,CISCE,Madurai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,"2025-04-30 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021397280, 22028000021397344",51788000002733098,"zcrm_51788000266318001, zcrm_51788000266324204",2024-03-07 00:00:00,nisha.murali_eiindia,hakim.kanchwala_eiindia1,nisha.murali@ei.study,Nisha murali,Nisha Murali,,"2024-04-06 07:35:13, 2024-04-06 07:35:17",Ms. Subhashini P,Principal,lakshmischool@tvslvs.com,+919787315159,lakshmischool@tvslvs.com,Ms. Subhashini P,lakshmischool@tvslvs.com,+919787315159,Rajalakshmi Krishnamani,rajalakshmi@tvslvs.com,+919994905311,0,"Veerapanchan, Karuppayurani",,625020,TVS School,Madurai,Tamil Nadu,625020,MRIL00055G,"Veerapanchan, Karuppayurani",TVS School
New School,212432,"Delhi Public School, Delhi Public School Society, Delhi Public School, Dwarka",,2024,"2024-04-06 00:00:00, 2024-08-21 00:00:00","Ei ASSET, Ei Teacher Training",Regular,"2124322024.00, IN-2022002453, IN-2022002461",Approved By Logistic Team,7935819,8007819,7535819,15547,"0, 522",0,0,0,0,0,0,"0, 400000",Installments,"1, 3",2024-04-06 00:00:00,"2024-04-06 00:00:00, 2024-08-21 00:00:00, 2024-08-22 00:00:00","0, 1883955","2024-04-06 00:00:00, 2024-10-01 00:00:00, 2024-10-15 00:00:00","0, 3391119","2024-04-06 00:00:00, 2024-12-16 00:00:00, 2024-12-23 00:00:00","0, 2260746","2000-01-01 00:00:00, 2024-04-06 00:00:00",0,"0, 1233660","2024-04-06 00:00:00, 2024-08-22 00:00:00","2024-04-06 00:00:00, 2025-03-28 00:00:00","0, 400000, 7535820","0, 11966940","-5664780, 0, 400000","0, 0.6517000000000001, 1","0, 0.6017, 1",0,"0, 0.05",0,0,"0, Summer Round",OMR,0,MCQ,,,,CBSE,New Delhi,Delhi,North,Delhi/Haryana,National Sales,"2024-04-01 00:00:00, 2024-04-06 00:00:00","2024-04-06 00:00:00, 2025-03-31 00:00:00","Regular School: Active school with student count and rate per student defined, Regular School: Active school with teacher count and rate per teacher defined","2124322024, 22028000024247380, 22028000024266300",51788000002733112,"zcrm_51788000273015159, zcrm_51788000273186167","2024-04-06 00:00:00, 2024-08-21 00:00:00","maruf.shaikh@ei.study, vibhor.tyagi_ei","fagun.saraiya_eiindia1, maruf.shaikh@ei.study","maruf.shaikh@ei.study, vibhor.tyagi@ei.study","Maruf shaikh, Vibhor tyagi",Vibhor Tyagi,"Chaitanya Kolluri, Vibhor Tyagi","2024-04-06 00:00:00, 2024-08-21 16:00:49, 2024-08-21 17:14:57","Ms. Sunita Tanwar, Priya Narayanan",Principal,"maruf.shaikh@ei.sstudy, maruf.shaikh@ei.study","+919016039311, +919818643444",mail@dpsdwarka.com,,,,,,,"0, 95000","Phase I, Dwarka Sector-3, Dwarka, New Delhi, Delhi 110078",,110078,"Phase I, Dwarka Sector-3, Dwarka, New Delhi, Delhi 110078",New Delhi,DELHI,110078,DELT05304F,"Phase I, Dwarka Sector-3, Dwarka, New Delhi, Delhi 110078","Phase I, Dwarka Sector-3, Dwarka, New Delhi, Delhi 110078"
Key Account,2144857,Little Star High School,Dropped,2024,2024-10-22 00:00:00,Ei ASSET,Regular,IN-2022002537,Approved By Logistic Team,0,0,0,492,0,0,0,,0,0,,0,Full Payment,,2024-10-23 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Adilabad,Telangana,South,AP/Telangana,National Sales,2024-09-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025644100,51788000002768775,zcrm_51788000274553426,2024-10-22 00:00:00,maruf.shaikh1,maruf.shaikh1,maruf.shaikh@ei.study,Maruf shaikh,Manjeetsingh Ladhad,,2024-10-22 12:55:47,Y. Kamalakarreddy,Principal,kamalakar.reddy@akesi.org,+919490024940,,Y. Kamalakarreddy,kamalakar.reddy@akesi.org,+919490024940,Ramesh,kamalakar.reddy@akesi.org,+918555028565,0,"1-2-98, Shanti Nagar, Adilabad, Telangana 504001",,504001,"1-2-98, Shanti Nagar, Adilabad, Telangana 504001",Adilabad,Telangana,504001,,"1-2-98, Shanti Nagar, Adilabad, Telangana 504001","1-2-98, Shanti Nagar, Adilabad, Telangana 504001"
Retention School,2171347,Learning Paths School,,2024,2024-04-13 00:00:00,Ei CARES,Regular,"IN-2022001905, IN-2022001906",Approved By Logistic Team,1728118,1728118,0,0,,1728118,1008,"1440, 1920",0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-04-15 00:00:00,2024-04-15 00:00:00,"1105978, 622140","503933, 895842","118207, 210136","0.4461, 0.4514","0.4461, 0.4514",,,,,0,,4,MCQ + Subjective,Printing By EI,OMR,,State Board,Mohali,Punjab,North,Punjab/Chandigarh,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022060448, 22028000022060488",51788000002769241,"zcrm_51788000268398181, zcrm_51788000268398361",2024-04-13 00:00:00,virender.verma_ei,fagun.saraiya_eiindia1,virender.verma@ei.study,Virender verma,Bhavishya Bansal,,"2024-04-15 14:16:07, 2024-04-15 14:16:12",Robin Aggarwal,School Owner,raggarwal@gmail.com,+919216798899,principal@learningpaths.in,,,,,,,0,"Plot No. 3, Sector 67, Behind Niper Institute,",,160055,"Plot No. 3, Sector 67, Behind Niper Institute,",Mohali,Punjab,160055,,"Plot No. 3, Sector 67, Behind Niper Institute,","Plot No. 3, Sector 67, Behind Niper Institute,"
1-year School,2183623,Indus Valley World School,Dropped,2024,2024-06-20 00:00:00,Ei ASSET,Regular,IN-2022002251,Approved By Logistic Team,195000,195000,195000,260,750,0,0,,0,0,,0,Installments,2,,2024-06-24 00:00:00,48750,2024-10-01 00:00:00,146250,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-06-22 00:00:00,2024-11-08 00:00:00,195000,191100,3900,0.5,0.5,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,kolkata,West Bengal,East,West Bengal,National Sales,2024-07-01 00:00:00,2025-01-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023069264,51788000002769463,zcrm_51788000270863071,2024-06-20 00:00:00,mayukh.chowdhury_ei1,mitul.patel_ei1,mayukh.chowdhury@ei.study,Mayukh chowdhury,Soumodeep Ghosh,Gargi Ghosh,2024-06-20 14:02:23,Ms. Amita Prasad,Other,admin@ivws.org,+919073657861,principal@ivws.org,,,,,,,0,"488, Ajoy Nagar, Eastern Metropolitan Bypass, near Peerless Hospital,",,700094,"488, Ajoy Nagar, Eastern Metropolitan Bypass, near Peerless Hospital,",kolkata,West Bengal,700094,,"488, Ajoy Nagar, Eastern Metropolitan Bypass, near Peerless Hospital,","488, Ajoy Nagar, Eastern Metropolitan Bypass, near Peerless Hospital,"
1-year School,218537,Delhi Public School,,2024,2024-02-16 00:00:00,Ei ASSET,Regular,IN-2022001506,Approved By Logistic Team,471371,471371,471371,972,485,0,0,,0,0,,0,Full Payment,,2024-02-22 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,4481,2024-04-15 00:00:00,2024-11-19 00:00:00,471371,426992,39898,0.6767,0.6767,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Varanasi,Uttar Pradesh,North,UP/Uttarakhand,National Sales,2024-04-01 00:00:00,2025-03-29 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021098036,51788000002733271,zcrm_51788000256207016,2024-02-16 00:00:00,pallavi.singh_ei1,hakim.kanchwala_eiindia1,pallavi.singh@ei.study,Pallavi singh,Shrikant Gehlot,,2024-04-03 12:52:11,Mr. Mukesh Shlehat,Principal,principal@dpsvaranasi.com,+919335016823,info@dpsvaranasi.com,Mr. Mukesh Shlehat,principal@dpsvaranasi.com,+919335016823,,,,62300,Village Vishokhar Near Amra Chauraha Mohansarai Bypass Road,,221011,"Village Vishokhar Near Amra Chauraha Mohansarai Bypass Road, NH-2, Varanasi, Uttar Pradesh",Varanasi,Uttar Pradesh,221011,ALDH01056G,Opp. Collector Office,"Village Vishokhar Near Amra Chauraha Mohansarai Bypass Road, NH-2, Varanasi, Uttar Pradesh"
Retention School,22293,Chinmaya Vidyalaya P.A.C.R. Mat. H.S. School,Dropped,2024,2024-07-29 00:00:00,"Ei ASSET,Ei CARES,Ei Mindspark",Regular,IN-2022002387,Approved By Logistic Team,1059851,1140156,174038,332,524,439674,332,1324,446139,265,1684,0,Installments,2,,2024-08-02 00:00:00,228031,2024-08-31 00:00:00,912125,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,18244,2024-07-30 00:00:00,2024-10-07 00:00:00,1140156,1117455,4457,0.7241,0.7241,,,,,Summer Round,OMR,6,MCQ,,Online,Online,State Board,Rajapalayam,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-20 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023806892,51788000002728686,zcrm_51788000272302132,2024-07-29 00:00:00,jasper.jessie_ei,hakim.kanchwala_eiindia1,jasper.jessie@ei.study,Jasper jessie,Jasper Jessie,Jasper Jessie,2024-07-31 12:17:10,Mrs. Usha T,,cvpacrhsrjpm@gmail.com,+914563233500,cvpacrhsrjpm@gmail.com,,,,,,,0,"Box No 70, Tenkasi Road, Illanthoppu",,626117,"Box No 70, Tenkasi Road, Illanthoppu",Rajapalayam,Tamil Nadu,626117,,"Box No 70, Tenkasi Road, Illanthoppu","Box No 70, Tenkasi Road, Illanthoppu"
Retention School,22355,Chinmaya Vidyalaya Srimathi Lingammal Ramaraju Mat. Higher Secondary School,Dropped,2024,"2024-07-29 00:00:00, 2024-08-12 00:00:00","Ei ASSET,Ei CARES,Ei Mindspark, Ei CARES",Regular,"IN-2022002388, IN-2022002415",Approved By Logistic Team,1481699,1626558,193522,406,477,483406,515,"0, 1191",804771,492,1636,0,"Full Payment, Installments",2,2024-08-12 00:00:00,"2000-01-01 00:00:00, 2024-08-02 00:00:00","0, 325312","2000-01-01 00:00:00, 2024-08-31 00:00:00","0, 1301246",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"0, 26033",2024-07-30 00:00:00,2024-10-03 00:00:00,"0, 1626558","0, 1594480","0, 6045","0.7341, 1","0.7341, 1",,,,,"0, Summer Round",OMR,6,MCQ,,Online,Online,State Board,Rajapalayam,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-20 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000023807028, 22028000024042900",51788000002728687,"zcrm_51788000272302263, zcrm_51788000272878001","2024-07-29 00:00:00, 2024-08-12 00:00:00",jasper.jessie_ei,"hakim.kanchwala_eiindia1, mitul.patel_ei1",jasper.jessie@ei.study,Jasper jessie,Jasper Jessie,Jasper Jessie,"2024-08-03 11:44:02, 2024-08-12 18:51:58",Mr. Sivarajkumar T,,cvslrhs@gmail.com,+914563233500,cvslrhs@gmail.com,,,,,,,0,"1076F, Rotary Nagar",,626117,"1076F, Rotary Nagar",Rajapalayam,Tamil Nadu,626117,,"1076F, Rotary Nagar","1076F, Rotary Nagar"
Retention School,226552,"The Shri Ram School, Vasant Vihar",,2024,"2024-04-03 00:00:00, 2024-11-28 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022001824, IN-2022002632",Approved By Logistic Team,626152,674203,359200,208,1727,0,0,,266952,105,2542,0,"Full Payment, Installments",2,2024-12-12 00:00:00,"2000-01-01 00:00:00, 2024-04-05 00:00:00","0, 157502","2000-01-01 00:00:00, 2024-07-15 00:00:00","0, 157502",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"2670, 7184","2024-05-14 00:00:00, 2025-01-07 00:00:00","2024-08-24 00:00:00, 2025-01-07 00:00:00","315004, 359200","309664, 352016","0, 2670","0, 0.16670000000000001",0.16670000000000001,,,,,"0, Winter Round",OMR,0,MCQ,,,Online,CBSE,New Delhi,Delhi,North,Delhi/Haryana,National Sales,2024-04-01 00:00:00,"2025-03-31 00:00:00, 2025-04-12 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000021905260, 22028000026470396",51788000002733439,"zcrm_51788000267829579, zcrm_51788000278308550","2024-04-03 00:00:00, 2024-11-28 00:00:00","anshul.nagpal_ei, ravinder.kaur_ei","fagun.saraiya_eiindia1, sourabh.mehta_eiindia","anshul.nagpal@ei.study, ravinder.kaur@ei.study","Anshul nagpal, Ravinder kaur",Vaishali Yadav,Vaishali Yadav,"2024-04-04 10:56:27, 2024-11-28 17:15:49",Mr. Anupam Jain,Accounts,anupam.jain@tsrs.org,+919891369408,junior.school@tsrs.org,"Mr. Anupam Jain, Ms Pooja Thakur","Pooja.thakur@tsrs.org, anupam.jain@tsrs.org",+919891369408,"Mr. Anupam Jain, Ms. Lakshita Kapur","anupam.jain@tsrs.org, lakshita.kapur@tsrs.org","+919654075737, +919891369408",0,"D-3 Street, Vasant Vihar, ,New Delhi,Delhi - 110057",,110057,"D-3 Street, Vasant Vihar, ,New Delhi,Delhi - 110057",New Delhi,Delhi,110057,,"D-3 Street, Vasant Vihar, ,New Delhi,Delhi - 110057","D-3 Street, Vasant Vihar, ,New Delhi,Delhi - 110057"
Retention School,2282758,Guru Kripa Divine Grace Public School,,2024,2024-01-31 00:00:00,"Ei ASSET,Ei CARES",Regular,IN-2022001451,Approved By Logistic Team,1669690,1669690,1051800,878,1198,617890,280,2207,0,0,,0,Installments,4,,2024-04-10 00:00:00,417423,2024-07-10 00:00:00,417423,2024-09-10 00:00:00,417423,2024-12-10 00:00:00,417423,109007,2024-07-11 00:00:00,2025-03-27 00:00:00,1669692,1239088,321597,0.36950000000000005,0.36950000000000005,,,,,Winter Round,OMR,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Bahraich,Uttar Pradesh,North,UP/Uttarakhand,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000020875100,51788000002771463,zcrm_51788000263994001,2024-01-31 00:00:00,anshul.nagpal_ei,fagun.saraiya_eiindia1,anshul.nagpal@ei.study,Anshul nagpal,Shruti Chauhan,,2024-02-03 15:18:49,Mr. Joy Raitani,Principal,gkdgps@gmail.com,+918795516165,gkdgps@gmail.com,Mr. Joy Raitani,gkdgps@gmail.com,+918795516165,,,,0,"Ranjitpur, Hazoorpur Road,",,271801,"Ranjitpur, Hazoorpur Road,",Bahraich,Uttar Pradesh,271801,LKNG06247D,"Ranjitpur, Hazoorpur Road,","Ranjitpur, Hazoorpur Road,"
Key Account,2285293,Anand Niketan International,,2024,2024-07-10 00:00:00,Ei ASSET,Regular,IN-2022002331,Approved By Logistic Team,169200,169200,169200,282,600,0,0,,0,0,,0,Full Payment,,2024-09-26 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,16620,2024-11-26 00:00:00,2024-11-26 00:00:00,169200,149580,3000,0.6,0.6,,,,,Winter Round,OMR,0,MCQ,,,,Cambridge,Ahmedabad,Gujarat,West,Gujarat,National Sales,2024-07-01 00:00:00,2025-04-30 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023461552,51788000002771488,zcrm_51788000271640085,2024-07-10 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Nakul Swamy,Aarti Iyer,2024-07-26 09:15:07,Ms. Reshmi Ghosh,,Reshmi.ghosh@anandniketan.org,+917874898081,ansarkhej@anandniketansatellite.edu.in,,,,,,,150000,"Near Novotel Hotel Nr. Asavari Tower, Off S G Highway, Satellite",,380015,"Near Novotel Hotel Nr. Asavari Tower, Off S G Highway, Satellite",Ahmedabad,Gujarat,380015,AHMU00781E,"Link in road, Sarkhej,","Link in road, Sarkhej,"
